Item_Weight,Item_Visibility,Item_MRP,Item_Outlet_Sales,Outlet_Years,Item_Fat_Content_1,Item_Fat_Content_2,Outlet_Location_Type_1,Outlet_Location_Type_2,Outlet_Size_1,Outlet_Size_2,Outlet_Type_1,Outlet_Type_2,Outlet_Type_3,Item_Type_Combined_1,Item_Type_Combined_2,Outlet_1,Outlet_2,Outlet_3,Outlet_4,Outlet_5,Outlet_6,Outlet_7,Outlet_8,Outlet_9
9.3,0.9310779543761083,249.8092,3735.138,14,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
5.92,0.9334195208758378,48.2692,443.4228,4,0,1,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
17.5,0.8727897762771314,141.618,2097.27,14,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
19.2,0.8181818181818182,182.095,732.38,15,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
8.93,0.7500000000000002,53.8614,994.7052,26,1,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0
10.395,0.7272727272727273,51.4008,556.6088,4,0,1,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0
13.65,1.0694267697512445,57.6588,343.5528,26,0,1,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0
19.0,0.8704928816397633,107.7622,4022.7636,28,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0
16.2,0.9241603619293527,96.9726,1076.5986,11,0,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0
19.2,0.8763482180275006,187.8214,4710.535,6,0,1,1,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0
11.8,0.6,45.5402,1516.0266,14,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
18.5,0.9330256864425739,144.1102,2187.153,16,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0
15.1,0.9330543755673081,145.4786,1589.2646,14,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
17.6,0.922289906298101,119.6782,2145.2076,16,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0
16.35,0.9583620262153768,196.4426,1977.4260000000002,26,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0
9.0,0.9252652611972231,56.3614,1547.3192,16,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0
11.8,1.0031395479206202,115.3492,1621.8888,4,1,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0
9.0,0.9267038031378306,54.3614,718.3982,14,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
8.26,0.8704928693111866,113.2834,2303.6679999999997,28,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
13.35,0.922115518306462,230.5352,2748.4224,9,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0
18.85,1.0132484392100192,250.8724,3775.086,26,0,1,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0
8.315,0.867553707380034,144.5444,4064.0432,28,0,1,0,1,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0
14.6,0.8628943947372766,196.5084,1587.2672,9,1,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0
15.5,1.5315371875133978,107.6938,214.3876,28,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0
13.85,0.9296326154440038,165.021,4078.025,16,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0
13.0,0.9275067672165533,45.906000000000006,838.908,6,1,0,1,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0
7.645,0.8835292524522669,42.3112,1065.28,9,0,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0
11.65,0.9317498202269063,39.1164,308.9312,26,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
5.925,1.4445814400022103,45.5086,178.4344,15,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
14.5,1.52636607389383,43.6454,125.8362,28,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0
19.25,1.4641166675359907,55.7956,163.7868,15,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
18.6,1.0031395405819457,96.4436,2741.7644,4,1,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0
18.7,0.9090909090909091,256.6672,3068.0064,4,0,0,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0
17.85,0.9,93.1436,2174.5028,11,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0
17.5,0.9222899199987084,174.8738,2085.2856,16,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0
10.0,0.8760887635003263,146.7102,3791.0652,14,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
20.2,0.8676854210699222,128.0678,2797.6916,28,0,1,0,1,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0
8.85,1.003139534910143,122.5388,1609.9044,4,0,1,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
6.384999999999999,0.9205197684191377,36.9874,388.1614,28,0,1,0,1,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0
15.25,0.9251308290764401,87.6198,2180.495,28,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0
13.35,0.9222899150035627,230.6352,3435.528,16,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0
9.8,0.9215224160526706,126.00200000000001,2150.534,26,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0
13.6,0.9310779364692868,192.9136,2527.3768,14,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
21.35,0.9334195377024116,259.9278,6768.5228,4,0,0,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0
12.15,0.9980787902561443,126.5046,373.5138,26,0,1,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0
6.42,1.464116667660315,178.1002,358.2004,15,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
19.6,0.75,153.3024,2428.8384,11,1,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0
10.0,0.9241603460120508,265.2226,5815.0972,11,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0
15.85,0.8747287915078714,60.622,2576.646,16,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0
10.195000000000002,1.6616354111924647,196.8794,780.3176,28,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0
7.39,0.8747287887220742,143.8812,3134.5864,16,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0
10.195,0.9328773848835529,141.5154,850.8924,26,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0
9.895,0.8740008759338731,117.0492,810.9444,26,0,1,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0
10.895,0.8796766099576357,196.3794,3121.2704,6,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0
12.15,0.9275067647960544,151.4708,4815.0656,6,1,0,1,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0
7.905,0.9334195624341675,249.0408,6258.52,4,0,0,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0
9.195,0.9315179298292239,106.1622,2117.244,11,1,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0
8.365,0.8760887617519185,38.0506,796.9626,14,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
15.1,0.9513858526903721,194.511,4910.275,16,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0
5.9399999999999995,1.61481058875214,180.0344,892.172,28,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0
10.0,0.8333333333333334,246.9144,3185.1872,4,0,0,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0
7.97,0.8503936434710149,87.3514,1062.6168,11,0,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0
6.215,0.9251308536486637,38.2848,484.7024,28,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0
15.5,1.5474933749123496,51.0692,147.8076,28,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0
17.5,0.9538823918231121,255.8356,2543.356,28,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0
17.7,1.5560143953260468,185.4266,184.4266,15,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
19.35,0.9221155127052099,172.5738,4865.6664,9,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0
13.65,0.9281228332853192,186.024,1118.5439999999999,11,0,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0
17.6,0.8765027640696678,164.8526,2302.3364,11,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
8.645,0.9249991148310273,95.84100000000001,2027.361,16,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0
15.6,0.8747287875118142,170.1764,3435.528,16,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0
15.85,0.8740008619873568,59.222,599.22,26,0,1,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0
18.25,0.8999999999999998,164.7526,4604.6728,11,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0
7.855,0.9275067286121007,189.6188,2285.0256,6,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0
7.825,0.9268713929240054,254.3698,5580.7356,14,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
8.39,0.9990697616442725,114.0176,2290.3520000000003,16,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0
12.85,0.9237238339071363,172.3422,1207.0954,14,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
13.349999999999998,1.5315372016230429,89.9804,643.1628,28,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0
19.0,0.9275067671896534,104.9622,1587.933,6,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0
5.905,0.8999999999999999,222.5456,5305.0944,11,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0
7.76,0.8747287866525946,101.87,1697.79,16,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0
11.8,1.0147657505784495,180.3344,1427.4752,16,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0
16.75,0.9260469457443702,187.9556,4693.89,4,0,0,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0
18.849999999999998,1.6148105893820424,194.6136,583.2408,28,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0
12.599999999999998,0.8704928746102873,171.3764,3091.9752,28,0,1,0,1,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0
15.5,0.9348909885210056,177.0028,2479.4392,6,0,1,1,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0
6.055,0.9988808402357965,160.99200000000002,2716.4640000000004,9,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0
20.2,0.8673835674751829,155.963,3285.723,28,0,1,0,1,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0
6.305,0.9990697475981462,95.6436,661.8052,16,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0
20.85,0.9517970383470621,117.2808,1523.3504,14,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
20.75,1.5617277461640406,122.17299999999999,369.519,15,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
8.895,0.9267038048585213,39.9138,690.4346,14,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
